	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_D02_32	0.398851135979744	-0.257891114409174	0.966117373305988	0.992805833708619	2.89536283676908	0.318203908590439	0.359769286961837	0.00865804837439042	0.0421368135039553	0.00441564510894841	0.022784370984174
Sg_D02_9	2.49050074724454	1.47954400105025	3.1907961688773	1.09147098288799	3.38574573468146	0.307860353419118	0.357125691688485	0.00162620269818283	0.0117727461938041	0.00401721827722486	0.0214886210458937
Sg_D03_78	1.23654323389724	1.24779272577172	1.23241328121478	-0.00976355758230518	1.93532411277091	-0.00399822105416696	0.49759615385773	0.479645248113784	1	0.951899359357671	1
Sg_D09_14	1.04054982799262	1.19522324771279	0.939982928837702	-0.517751652558584	2.36381139944068	-0.181974592529407	0.409276616649554	0.238435481019	0.700685809818693	0.0673215224788579	0.255569313606172
Sg_D10_17	1.23517544250235	1.19053530189566	1.27309338506123	-0.0140350790393091	4.09630021564496	-0.00317876942759005	0.498557692314638	0.683828122805348	1	0.944590644724476	1
Sg_D18_45	2.66427302298737	2.23195980494704	4.10782803496609	1.61345710410316	5.28373014581324	0.288249435416095	0.373467917016937	0.00628806843900165	0.0324087212887085	0.00824291853522653	0.0343580118216203
Sg_E04_12	0.521693635074263	-0.206602609186898	0.872934412541266	0.859541032056756	3.64127787234275	0.216237824125078	0.399038462045296	0.0913104678164411	0.303102079300461	0.0455424387387609	0.1598553974416
Sg_E06_10	-1.11027490941112	-0.755151101940021	-1.38533001670284	-0.675481966731197	2.45246070418307	-0.248128788604407	0.37442922438936	0.00269134962029461	0.0256454486151687	0.0117644330046582	0.0764770623584938
Sg_E06_24	-0.0316484240150121	-0.524574308959515	0.778373165338346	1.09148415958255	2.70660164354563	0.388515534618749	0.343186734795276	0.00152629930200123	0.0114493536863493	0.00177832679975101	0.0124089414300815
Sg_E10_50	4.46903878493664	3.93468075231269	5.06154535102046	1.15423449050325	2.36788555105771	0.468433000197988	0.293990385810241	0.0000174013984221739	0.000590510376907184	0.0000484588415485699	0.000980090550587143
Sg_EA47_17	2.58313964261859	3.32428016379988	1.66766582567149	-1.69323228754404	5.16233826559638	-0.300095867462141	0.366979092253535	0.00526783840682325	0.0381740134114382	0.00649263980773939	0.0491937242697725
Sg_EA47_9	-0.0276266768735152	-0.556431753523976	0.660230350362951	1.00402450069549	3.07760319733925	0.293924548691117	0.366586539153223	0.00609006982971031	0.0315824747720643	0.0057996523286271	0.0269482311080823
Sg_EA57_9	-0.914278127769165	-1.34735863893086	-0.0819252743490022	1.1282992306981	3.7904723184629	0.263622886200199	0.374519231414084	0.0544965953903038	0.192092957845601	0.0112319847021364	0.0447576198022701
Sg_EA61_27	-0.151958840983968	-0.683461700962061	0.625423201089767	1.12157637153652	2.97930570169079	0.338493847111992	0.34799327165448	0.0106636399719988	0.0494146520323403	0.00242745268825983	0.0152587903589744
